AO 22503
AO 22505
Athenaeum 47, 119
Benenian 4
HUCA 32, 34
MDOG 102 86(Edzard 1970)
Medelhavsmuseet 1977, BMNE 19, 3
Neukirch
Oberhuber, AcOr 41
PUL 100_Garelli-FS Matoush
RC 1749 B
RC 1749 C (Landsberger Ce)
RC 1749 D (Landsberger Cd 27-2)
RC 1749 E
SMEA 3
Trinity - Or 36, 396A2
Weir 1
AAA 1, 1 
AAA 1, 13
AAA 1, 17
AAA 1, 19
AAA 1, 2
AAA 1, 4
AAA 1, 6
Adana 237 B
Adana 237 D
Adana 237 K
Adana 237 oe
Adana 237 S,
Adana 237 S
AKT 1, 10
AKT 1, 11
AKT 1, 12
AKT 1, 13
AKT 1, 14
AKT 1, 15
AKT 1, 16
AKT 1, 17
AKT 1, 18
AKT 1, 23
AKT 1, 24
AKT 1, 25
AKT 1, 26
AKT 1, 27
AKT 1, 28
AKT 1, 29
AKT 1, 32
AKT 1, 78
AKT 1, 82
Kt n/k 1570
AKT 2, 22
AKT 2, 23
AKT 2, 24
AKT 2, 25
AKT 2, 26
AKT 2, 27
AKT 2, 28
AKT 2, 29
AKT 2, 30
AKT 2, 31
AKT 2, 32 
AKT 2, 33
AKT 2, 34
AKT 2, 35
AKT 2, 36
AKT 2, 37
AKT 2, 38
AKT 2, 39
AKT 2, 40
AKT 2, 41
AKT 2, 42
AKT 2, 43
AKT 2, 44
AKT 2, 45
AKT 2, 46a
AKT 2, 46b
AKT 2, 47
AKT 2, 48
AKT 2, 49
AKT 2, 50
AKT 2, 51
AKT 2, 52
AKT 2, 53
AKT 2, 54
AKT 2, 55
AKT 2, 56
AKT 2, 57
AKT 2, 58
AKT 3, 100
AKT 3, 101
AKT 3, 102
AKT 3, 103
AKT 3, 104
AKT 3, 105
AKT 3, 106
AKT 3, 107
AKT 3, 108
AKT 3, 109
AKT 3, 110
AKT 3, 111
AKT 3, 112
AKT 3, 113
AKT 3, 114
AKT 3, 39
AKT 3, 40
AKT 3, 61
AKT 3, 62
AKT 3, 63
AKT 3, 64
AKT 3, 65
AKT 3, 66
AKT 3, 67
AKT 3, 68
AKT 3, 69
AKT 3, 70
AKT 3, 71
AKT 3, 72
AKT 3, 73
AKT 3, 74
AKT 3, 75
AKT 3, 76
AKT 3, 77
AKT 3, 78
AKT 3, 79
AKT 3, 80
AKT 3, 81
AKT 3, 82
AKT 3, 83
AKT 3, 84
AKT 3, 85
AKT 3, 86
AKT 3, 87
AKT 3, 88
