AAA 1, 2
AKT 1, 24
AKT 3, 106
AKT 4, 48
AKT 4, 60
BIN 4, 50
BIN 6, 127
BIN 6, 19
BIN 6, 2
BIN 6, 70
CCT 3, 36b-37a
CCT 3, 43a
CCT 3, 47b
CCT 4, 34a
CCT 4, 41b
CCT 4, 44b
ICK 1, 103
ICK 1, 113
ICK 1, 14
ICK 1, 154
ICK 1, 170
ICK 1, 177
ICK 1, 55
ICK 1, 63
ICK 1, 66
ICK 1, 88
ICK 1, 98
ICK 4 - I 433
ICK 4 - I 434
ICK 4 - I 474
ICK 4 - I 476
ICK 4 - I 477
ICK 4 - I 479
ICK 4 - I 487
ICK 4 - I 523
ICK 4 - I 577
ICK 4 - I 585
ICK 4 - I 599
ICK 4 - I 638
ICK 4 - I 670
ICK 4 - I 686
ICK 4 - I 707
ICK 4 - I 712
ICK 4 - I 720
ICK 4 - I 730
JCS 14, 6
RA 85, 103 - Ka 295
Kt 88/k 507b
TPAK 1, 242
TPAK 1, 60
KTK 102 - Silejko 3 - EL 191
KTS 1, 31a
KTS 1, 31b
KTS 1, 31c
KTS 1, 32a
KTS 1, 32b
KTS 1, 32c
KTS 1, 33a
KTS 1, 33b
KTS 1, 34a
KTS 1, 34b
KTS 1, 35a
KTS 1, 35b
KTS 2, 11
KTS 2, 14
KTS 2, 18
KTS 2, 29
KTS 2, 30
RA 60, 143
Sadberg - ARK 167-9475
TC 1, 13
TC 3, 119
TC 3, 123
TC 3, 80
TC 3, 81
TC 3, 83
VS 26, 21
VS 26, 25
VS 26, 61
VS 26, 62
AKT 6a, 244 – Kt 94/k 844
